id,slug,name,vendor,url,content_types,subjects,languages,access_method,description_en,description_ar,description_de,enabled,created_at
3,statista,Statista,Statista,https://www.statista.com,"{statistics,reports}","{Business,Economics,Marketing,Industry,Society}","{en,de}",ip-auth,"Market and consumer statistics, industry reports, and forecasts.",إحصاءات السوق والمستهلك وتقارير القطاعات والتوقعات.,"Markt- und Verbraucherstatistiken, Branchenberichte und Prognosen.",t,2026-05-08 15:32:44.375438+00
1,sciencedirect,ScienceDirect,Elsevier,https://www.sciencedirect.com,"{journals,ebooks}","{Engineering,""Computer Science"",""Health Sciences"",""Life Sciences"",""Physical Sciences"",""Social Sciences""}",{en},ip-auth,"Elsevier's full-text platform for peer-reviewed journals and ebooks across science, technology, and medicine.",منصة إلسفير للوصول إلى الدوريات العلمية والكتب الإلكترونية في العلوم والتكنولوجيا والطب.,"Elseviers Volltext-Plattform für begutachtete Fachzeitschriften und E-Books in Wissenschaft, Technik und Medizin.",t,2026-05-08 15:32:44.375438+00
2,wiley,Wiley Online Library,Wiley,https://www.wileyonlinelibrary.com,"{journals,ebooks,reference}","{Engineering,Business,Chemistry,""Life Sciences"",Medicine,""Social Sciences"",Humanities}",{en},ip-auth,"Wiley's multidisciplinary collection of journals, ebooks, and reference works.",مجموعة وايلي متعددة التخصصات من الدوريات والكتب والمراجع الإلكترونية.,"Wileys interdisziplinäre Sammlung von Fachzeitschriften, E-Books und Nachschlagewerken.",t,2026-05-08 15:32:44.375438+00
4,ebrary,Ebrary (ProQuest Ebook Central),ProQuest,https://ebookcentral.proquest.com/lib/germanjordan-ebooks/home.action,{ebooks},"{Engineering,Business,""Computer Science"",Humanities,""Social Sciences""}",{en},ip-auth,Cross-publisher ebook collection covering academic disciplines.,مجموعة كتب إلكترونية متعددة الناشرين تغطي التخصصات الأكاديمية.,Verlagsübergreifende E-Book-Sammlung über akademische Fachgebiete.,t,2026-05-08 15:32:44.375438+00
5,ieee,IEEE Xplore (IEEE-IEL),IEEE,https://ieeexplore.ieee.org/Xplore/home.jsp,"{journals,conference_proceedings,standards}","{""Electrical Engineering"",""Computer Science"",Communications,""Power Systems"",Robotics,AI,Engineering}",{en},ip-auth,"IEEE journals, conference proceedings, and standards in electrical engineering and computing.",دوريات IEEE ومؤتمراتها والمعايير في الهندسة الكهربائية وعلوم الحاسوب.,"IEEE-Fachzeitschriften, Konferenzbeiträge und Standards in Elektrotechnik und Informatik.",t,2026-05-08 15:32:44.375438+00
6,emerald,Emerald Insight,Emerald Publishing,https://www.emerald.com,"{journals,ebooks,case_studies}","{Business,Management,Education,""Library Science"",Engineering}",{en},ip-auth,"Peer-reviewed research in management, business, education, and engineering.",أبحاث محكّمة في الإدارة والأعمال والتربية والهندسة.,"Begutachtete Forschung in Management, Wirtschaft, Bildung und Ingenieurwesen.",t,2026-05-08 15:32:44.375438+00
7,ebsco,EBSCOhost,EBSCO,https://search.ebscohost.com/,"{journals,ebooks,magazines}","{Business,Health,Education,General}","{en,ar}",ip-auth,Multidisciplinary database aggregator with access via IP authentication.,مُجمِّع قواعد بيانات متعدد التخصصات بالوصول عبر عنوان IP الجامعة.,Multidisziplinärer Datenbank-Aggregator mit IP-basiertem Zugang.,t,2026-05-08 15:32:44.375438+00
8,tandfonline,Taylor & Francis Online,Taylor & Francis,https://www.tandfonline.com,{journals},"{Engineering,""Social Sciences"",Humanities,Education}",{en},ip-auth,"Peer-reviewed journal articles across science, technology, and humanities.",مقالات في دوريات محكّمة عبر العلوم والتكنولوجيا والعلوم الإنسانية.,"Begutachtete Fachartikel über Wissenschaft, Technik und Geisteswissenschaften.",t,2026-05-08 15:32:44.375438+00
9,tandfebooks,Taylor & Francis eBooks,Taylor & Francis,https://www.taylorfrancis.com/,{ebooks},"{Engineering,Humanities,""Social Sciences""}",{en},ip-auth,Taylor & Francis ebook collection across academic disciplines.,مجموعة الكتب الإلكترونية لتايلور وفرانسيس عبر التخصصات الأكاديمية.,Taylor-&-Francis-E-Book-Sammlung über akademische Fachgebiete.,t,2026-05-08 15:32:44.375438+00
10,scopus,Scopus,Elsevier,https://www.scopus.com/pages/home,"{abstracts_index,citations}","{Engineering,Sciences,Health,""Social Sciences""}",{en},ip-auth,Abstract and citation database for peer-reviewed literature; bibliometrics and author profiles.,قاعدة بيانات للملخصات والاستشهادات الببليومترية وملفات الباحثين.,Abstract- und Zitationsdatenbank; Bibliometrie und Autorenprofile.,t,2026-05-08 15:32:44.375438+00
11,springer,SpringerLink,Springer Nature,https://link.springer.com/,"{journals,ebooks,reference}","{Engineering,""Computer Science"",Mathematics,Medicine,""Life Sciences"",Business}","{en,de}",ip-auth,"Springer journals, books, and reference works.",دوريات وكتب ومراجع إلكترونية من شبرنجر.,"Springer-Fachzeitschriften, Bücher und Nachschlagewerke.",t,2026-05-08 15:32:44.375438+00
12,qistas,Qistas,Qistas,https://research.qistas.com/ar,{legal_database},"{Law,Jurisprudence,Legislation}",{ar},login,"Arabic legal research database covering Jordanian and regional legislation, case law, and jurisprudence.",قاعدة بيانات قانونية عربية تغطي التشريعات الأردنية والإقليمية والاجتهادات القضائية.,Arabische juristische Forschungsdatenbank zu jordanischer und regionaler Gesetzgebung.,t,2026-05-08 15:32:44.375438+00
13,scival,SciVal,Elsevier,https://www.scival.com/landing,{research_analytics},"{""Research Performance"",Bibliometrics}",{en},login,Research analytics tool for benchmarking institutions and analyzing research trends.,أداة تحليلات بحثية للمقارنة المرجعية بين المؤسسات وتحليل اتجاهات البحث.,Forschungsanalytik-Tool für Institutionen-Benchmarking und Forschungstrend-Analyse.,t,2026-05-08 15:32:44.375438+00
14,europathek,Europathek,ciando,https://www.europathek.de/campus/germanjordanian,{ebooks},"{""German Studies"",Engineering,Business,Humanities}",{de},ip-auth,German-language ebook platform; the GJU campus collection.,منصة كتب إلكترونية باللغة الألمانية؛ مجموعة حرم الجامعة الألمانية الأردنية.,Deutschsprachige E-Book-Plattform; Campus-Sammlung der GJU.,t,2026-05-08 15:32:44.375438+00
15,deepknowledge,Deep Knowledge,Deep Knowledge,https://www.gju.edu.jo/content/subscriptions-databases-list-6892,{reference},{General},{en},ip-auth,General reference database (placeholder; verify subject coverage with the library).,قاعدة بيانات مرجعية عامة (مؤقت؛ يُرجى التأكد من تغطية المواضيع مع المكتبة).,Allgemeine Nachschlage-Datenbank (Platzhalter; Themenabdeckung mit der Bibliothek prüfen).,t,2026-05-08 15:32:44.375438+00
